season_number,episode_number,episode_name,episode_description
1,27,The Big Tall Wish,"An aging boxer finds himself the winner of a match he thought he had lost, the result a six-year-old's frantic wish. But can a world-weary, embittered man still believe in miracles, or will he turn his back on them?"
1,28,A Nice Place to Visit,"When bad guy Henry Francis Valentine dies in a shootout with police, he wakes up in the next world where his every wish is granted forever, and ever."
1,29,Nightmare as a Child,A schoolteacher keeps seeing a strange little girl in her apartment building.
1,30,A Stop at Willoughby,"Tired of his miserable job and wife, a businessman starts dreaming on the train each night, about an old, idyllic town called Willoughby. Soon he has to know whether the town is real and fancies the thought of seeking refuge there."
1,31,The Chaser,A young man obsessed with winning over an uninterested beauty gets more than he bargained for when he buys a love potion to gain her affection.
1,32,A Passage for Trumpet,"A suicidally despondent trumpet player finds himself in a bizarre world where he seems to be invisible to everyone, except for one helpful other musician."
1,33,Mr. Bevis,"After losing his job, his car and his apartment on the same day, an eccentric loser gets a new lease on life from his guardian angel, but there is a price for keeping it."
1,34,The After Hours,A woman is treated badly by some odd salespeople on an otherwise empty department store floor.
1,35,The Mighty Casey,A down-and-out baseball team's fortunes are lifted by a mysterious but seemingly unbeatable young player.
1,36,A World of His Own,A writer demonstrates he can control reality simply by dictating changes.
2,1,King Nine Will Not Return,A pilot of a downed WW II bomber comes to in the African desert and desperately tries to find out what happened to the rest of his crew.
2,2,The Man in the Bottle,"A luckless couple stumbles upon fortune when a genie materializes from a bottle in their antique shop. The genie grants them four wishes but warns them, prophetically, to be careful what you wish for."
2,3,Nervous Man in a Four Dollar Room,Small time criminal Jackie Rhoades must face both his past and his conscience while waiting for his next assignment.
2,4,A Thing About Machines,Bartlett Finchley's paranoia about the machines around proves true.
2,5,The Howling Man,"Seeking refuge from a storm, a traveler comes upon a bizarre abbey of monks, who have imprisoned a man who begs for his help. When he confronts the head monk, he is told that the man is the Devil, and he must decide whom to believe."
2,6,Eye of the Beholder,"A young woman lying in a hospital bed, her head wrapped in bandages, awaits the outcome of a surgical procedure performed by the State in a last-ditch attempt to make her look ""normal."""
2,7,Nick of Time,A pair of newlyweds stopping in a small town are trapped by their own superstition when playing a fortune-telling machine in a local diner.
2,8,The Lateness of the Hour,"The daughter of an inventor objects to their ""perfect"" home where they are waited on by mechanical servants."
2,9,The Trouble with Templeton,"A nostalgic actor revisits his late wife and friends at their old haunt, only to find that he is now out of place there."
2,10,A Most Unusual Camera,"When three unintelligent crooks get ahold of a camera that takes pictures of the future, they set out to make a quick fortune with their new toy."
2,11,The Night of the Meek,"After a derelict Santa Claus is fired on Christmas Eve, he finds a mysterious bag that gives out presents. With this bag he sets out to fulfill his one wish - to see the less fortunate inherit the bounties of Christmas."
2,12,Dust,A sympathetic sheriff and a callous con man are among the many who gather in a desert town on a hot day to see a man hanged for killing a child while drunk.
2,13,Back There,"At a prominent club in Washington, D.C., a socialite argues about whether it would be possible to change history by traveling back in time. When he leaves the club he finds himself in 1865, on the night that President Lincoln will be shot."
2,14,The Whole Truth,A used car salesman buys a car that dooms him to tell only the truth.
2,15,The Invaders,"When a woman investigates a clamor in the attic of her rural house, she discovers a small UFO with little aliens emerging from it. Or so it seems."
2,16,A Penny for Your Thoughts,"Gaining telepathic abilities when his coin lands on its edge, bank clerk Hector B. Poole learns about the difference between other people's plans and fantasies."
2,17,Twenty Two,"While in the hospital recovering from overwork, Liz Powell keeps dreaming about going down to the hospital morgue."
2,18,The Odyssey of Flight 33,"Passing through the sound barrier, a commercial airliner inadvertently travels back in time."
2,19,"Mr. Dingle, the Strong",A timid vacuum-cleaner salesman is given the strength of 300 men by some experimenting aliens.
2,20,Static,An old radio is taking bitter bachelor Ed Lindsay back to a happier time before what he considers worthless tripe on television when he starts picking up radio programs from the 1930's and 1940's.
2,21,The Prime Mover,A compulsive gambler cajoles his friend to use his telekinesis to affect the results of the gambling tables in Las Vegas.
2,22,Long Distance Call,A toy telephone becomes the link between a young boy and his dead grandmother.
2,23,A Hundred Yards Over the Rim,A pioneer from a wagon train in 1847 sets off to find something for his ill son and stumbles into present-day New Mexico.
2,24,The Rip Van Winkle Caper,"After successfully stealing a gold shipment, a group of criminals and their scientist accomplice put themselves in suspended animation in a remote desert cave. When they awaken decades later, complications ensue when their truck is destroyed."
2,25,The Silence,"Annoyed by a club member's constant chatter, a man bets him he cannot remain silent for a year, living in a glass enclosure in the club basement."
2,26,Shadow Play,"Adam Grant is trapped in a recurring nightmare, in which he is sentenced to death by execution. He tries to convince the people around him that they are imaginary and that they will cease to exist if the execution is carried out."
2,27,The Mind and the Matter,"Using the power of mind over matter, Archibald Beechcroft remakes the world to his own specifications."
2,28,Will the Real Martian Please Stand Up?,"Following a frantic phone call about a crashed spaceship, two policeman try and determine who among the passengers of a bus at a snowed-in roadside diner is from another world."
2,29,The Obsolete Man,"In a future totalitarian society, a librarian is declared obsolete and sentenced to death."
3,1,Two,"Two survivors of an apocalyptic battle, a man and a woman from opposing sides, approach each other suspiciously."
3,2,The Arrival,"Federal aviation investigator Grant Sheckly must deal with a mystery when a plane lands at an airport without pilots, passengers or luggage."
3,3,The Shelter,"A suburban dinner party is interrupted by a bulletin warning of an impending nuclear attack. As the neighbors scramble to prepare themselves, they turn against the one family that installed a permanent bomb shelter."
3,4,The Passersby,"While headed home, a Confederate soldier meets an anguished woman at the end of the Civil War."
3,5,A Game of Pool,A frustrated pool champion has beaten everyone. Everyone except one man - the legendary Fats Brown. Brown is dead and the champ can only curse his name. But guess who just walked in.
3,6,The Mirror,A Central American revolutionary comes into the possession of a mirror that shows him his potential assassins.
3,7,The Grave,Old West lawman Conny Miller visits the grave of a man who he failed to track down to prove he was never afraid of him but gets more than he bargained for.
3,8,It's a Good Life,"On an isolated family farm, a young boy with vast mental powers, but lacking emotional development, holds his terrified family in thrall to his every juvenile wish."
3,9,Deaths-Head Revisited,"A former German SS captain returns to Dachau concentration camp and begins reminiscing on the power he enjoyed there, until he finds himself on trial by those who died at his hands."
3,10,The Midnight Sun,"When Earth deviates from its normal orbit, getting closer to the sun, two women try to cope with increasingly oppressive heat in a nearly abandoned city."
3,11,Still Valley,"In June 1863, Confederate soldiers come across a warlock who can help bring victory to the Southern cause."
3,12,The Jungle,A businessman who has recently returned from Africa is stalked by the superstitions and warnings of a witch doctor.
3,13,Once Upon a Time,Janitor Woodrow Mulligan gets a trip from 1890 to 1962 courtesy of his employer's time helmet.
3,14,Five Characters in Search of an Exit,"An Army major awakens in a small room with no idea of who he is or how he got there. He finds four other people in the same room, and they all begin to question how they each arrived there, and more importantly, how to escape."
3,15,A Quality of Mercy,Hot-shot new Lieutenant Katell tries to make his mark on the last day of World War II in the Pacific and gets a unique perspective on his actions.
3,16,Nothing in the Dark,An old woman has fought with death a thousand times and has always won. But now she finds herself afraid to let a wounded policeman in her door for fear he is Mr. Death. Is he?
3,17,One More Pallbearer,Wealthy Paul Radin tries to get three people from his past to apologize to him by offering them shelter from a staged and phony nuclear war scenario.
3,18,Dead Man's Shoes,A homeless man takes the shoes off a dead gangster and steps into his life.
3,19,The Hunt,"Upon returning from a coon hunt, Hyder Simpson discovers that no one can see or hear him because he has passed on."
3,20,Showdown with Rance McGrew,"The star of a Western TV series suddenly finds himself transported back in time to the real Wild West, and face-to-face with the real Jesse James."
3,21,Kick the Can,An old man living in a rest home thinks he's found the secret of youth in children's games.
3,22,A Piano in the House,Sadistic and hated theater critic Fitzgerald Fortune buys a player piano that has the power to reveal the souls of all who hear it.
3,23,The Last Rites of Jeff Myrtlebank,"A young man wakes up at his own funeral and wants to know what the heck is going on. The townfolk are glad to see him back, but they begin to wonder if he's a man.. or something else?"
3,24,To Serve Man,"An alien race comes to Earth, promising peace and sharing technology. A linguist and his team set out to translate the aliens' language, using a book whose title they deduce is ""To Serve Man."""
3,25,The Fugitive,"Jenny and the other kids don't realize that the kindly yet magical old duffer they play with in the park is really an intergalactic fugitive hiding out till two serious men come looking for him, asking questions that test their friendship."
3,26,Little Girl Lost,"Awakened in the middle of the night by the cries of his daughter, a father enters the girl's room to find that she has vanished - even though he can still hear her crying out for help."
3,27,Person or Persons Unknown,"Paying homage to It's a Wonderful Life (1946), David Gurney wakes up to another ordinary day. Except today, nobody knows who he is including his own wife Wilma."
3,28,The Little People,"On a desolate planet, two astronauts discover an entire society populated by incredibly small beings. One of the astronauts decides to rule the society as a god."
3,29,Four O'Clock,"A very obsessed man wants to expose evil in the world, investigating people he sees as murderers, subversives, perverts and communists, then attempting to ruin their lives."
3,30,Hocus-Pocus and Frisby,A rural gas station attendant given to telling tall tales about himself is kidnapped by aliens who believe him to be one of Earth's leading intellects.
3,31,The Trade-Ins,"An elderly couple shop for younger replacement bodies, then resort to desperate measures to cover the cost."
3,32,The Gift,A man from the stars comes with a gift to a small Mexican village whose residents do not welcome this stranger.
3,33,The Dummy,"Ventriloquist Jerry Etherson is convinced that his dummy, Willie, is alive and evil. He locks Willie in a trunk and makes plans for a new act with a new dummy. Too bad he didn't clear those plans with Willie first."
3,34,Young Man's Fancy,Newlywed Alex Walker finds himself being pulled back to his childhood and back to his widowed mother in the house where he grew up.
3,35,I Sing the Body Electric,"A recent widower, needing loving care for his three young children, orders a cybernetic ""grandmother"". While two of the children accept her, one of his daughters fiercely rejects her, with near tragic consequences."
3,36,Cavender Is Coming,"Inept guardian angel Harmon Cavender is given a chance to earn his wings by helping an unconventional big city woman, the young, awkward Agnes Grep."
3,37,The Changing of the Guard,"After being forced to retire, Professor Fowler contemplates suicide when he doesn't feel he's made a difference in the world."
4,1,In His Image,A young man grapples with an urge to kill and confusion about his origins.
4,2,The Thirty-Fathom Grave,"As a U.S. Navy destroyer cruises near Guadalcanal in the South Pacific, its sonar detects muted but constant hammering on metal undersea. The eerie sounds emanate from a submarine on the ocean floor, apparently there since World War II. The ship's chief boatswain's mate becomes very nervous, having served aboard that sub - and he was its sole survivor."
4,3,Valley of the Shadow,A reporter stumbles into a peaceful town where miracles seem to occur due to technology and the townsfolk won't let him leave.
4,4,He's Alive,"A tiny neo-Nazi organization struggles pathetically to succeed in a big city. A mysterious figure begins to ruthlessly guide a young, insecure U.S. Nazi leader, and the group begins to draw more attention."
4,5,Mute,The orphaned daughter of telepathic parents must learn to speak and deal with a world she cannot communicate in.
4,6,Death Ship,An interplanetary expedition from Earth finds an exact duplicate of their ship and themselves crashed on the planet they were surveying. Should they stay or risk taking off and crashing?
4,7,Jess-Belle,"Appalachian beauty Jess-Belle can't bear to lose the object of her passion to the local rich girl, so she turns to the local witch for aid. The results bring unexpected and tragic consequences."
4,8,Miniature,Mousey misfit Charley Parkes finds the world unfolding before him in a museum doll house to be more real than his boring job and overbearing mother.
4,9,Printer's Devil,A man sells his soul to the Devil to save his failing newspaper and gets more than he bargained for.
4,10,No Time Like the Past,"A scientist attempts to use a time machine to prevent tragedies, both in world history and in his own past."
4,11,The Parallel,Astronaut Robert Gaines returns from space to a world that is not exactly the one he left from.
4,12,I Dream of Genie,"A wiseacre genie appears from a lamp to a meek man, George P. Hanley. Hanley is so used to bad luck, he imagines how each of three possible wishes could go very wrong - but the genie will grant him only one wish!"
4,13,The New Exhibit,A wax-museum employee fights to preserve five figures of famous murderers.
4,14,Of Late I Think of Cliffordville,Aging tycoon William Feathersmith is bored with life and makes arrangements through a devilish travel agency to return to the Cliffordville of his youth and start all over again.
4,15,The Incredible World of Horace Ford,"Toymaker Horace Ford is increasingly preoccupied with memories of his childhood, endangering his job and marriage - but a visit to his old neighborhood brings a haunting encounter, suggesting the time was not as idyllic as he remembers."
4,16,On Thursday We Leave for Home,The first human space colony is about to be rescued from the forsaken planet they've been on for three decades. But their leader's having a hard time accepting that change will happen when they get back to Earth.
4,17,Passage on the Lady Anne,"A young American couple, the Ransomes, who are trying to salvage their troubled marriage, insist on booking passage on an old trans-Atlantic cruise liner. But other passengers try to persuade them to disembark immediately."
4,18,The Bard,"Julius Moomer, a talentless, but relentless, self-promoting hack who dreams of becoming a successful television writer, uses a book of magic to summon William Shakespeare to write dramatic teleplays that Moomer will pass off as his own. Shakespeare becomes irritated by Moomer's lack of appreciation and is even more appalled when he discovers the changes wrought on his plays by cynical television executives."
5,1,In Praise of Pip,"A wearied bookie, learning of his grown soldier son Pip dying in South Vietnam, gets to spend one last delightful hour with a ten-year-old version of him at an amusement park."
5,2,Steel,"In 1974, boxing has been outlawed and is performed by mechanical robots. With his next and possibly last fight approaching and his robot in need of repair, he resorts to one last desperate gamble."
5,3,"Nightmare at 20,000 Feet","A man, newly recovered from a nervous breakdown, becomes convinced that a monster only he sees is damaging the plane he's flying in."
5,4,A Kind of a Stopwatch,A man is given a stopwatch that halts time.
5,5,The Last Night of a Jockey,A washed-up jockey gets his wish while waiting for the results of his race fixing hearing.
5,6,Living Doll,"A frustrated father does battle with his stepdaughter's talking doll, whose vocabulary includes such phrases as ""I hate you"" and ""I'm going to kill you""."
5,7,The Old Man in the Cave,"In a post-apocalyptic settlement in 1974, the inhabitants' survival is dependent on the advice of an unseen man living in a nearby cave. This dependence is tested when a band of soldiers descends on their town."
5,8,Uncle Simon,Caregiver Barbara Polk receives a surprise after her uncle's death.
5,9,"Probe 7, Over and Out","Colonel Cook, stranded on another planet with no hope for rescue, meets a woman who is the sole survivor from another planet."
5,10,The 7th Is Made Up of Phantoms,"On June 25, 1964, three Army National Guard soldiers on maneuvers near the Little Big Horn battle site find themselves unwittingly involved in Custer's Last Stand."
5,11,A Short Drink from a Certain Fountain,An aging married man convinces his brother to inject him with a youth serum.
5,12,Ninety Years Without Slumbering,An old man believes that his life will end the moment his grandfather clock stops ticking.
5,13,Ring-A-Ding Girl,Movie star Bunny Blake receives a ring from her hometown which is giving her warnings to come home while she flies cross country.
5,14,You Drive,"After being involved with a hit-and-run accident, which resulted in killing a child, Mr. Oliver Pope is haunted by his car."
5,15,The Long Morrow,"Before leaving on a decades-long mission, astronaut Douglas Stansfield meets a woman and falls in love."
5,16,The Self-Improvement of Salvadore Ross,Salvadore Ross has a unique talent where he can trade physical characteristics with other people and will do anything to get the love of Leah Maitland.
5,17,Number 12 Looks Just Like You,"In a future society, everyone must undergo an operation at age 19 to become beautiful and conform to society. One young woman desperately wants to hold onto her own identity."
5,18,Black Leather Jackets,"Three leather-jacket-wearing, motorcycle-riding men invade a peaceful neighborhood."
5,19,Night Call,Telephone calls begin to haunt a disabled elderly woman.
5,20,From Agnes - with Love,"A computer technician begins to take advice for his love life from Agnes, the computer he works with."
5,21,Spur of the Moment,An engaged heiress is terrorized by a middle-aged woman on a horse pleading with her not to go through with her impending marriage.
5,22,An Occurrence at Owl Creek Bridge,"During the American Civil War in 1862, a condemned Confederate prisoner, Peyton Farquhar, is due to be hanged by Union troops."
5,23,Queen of the Nile,A reporter interviews a Hollywood movie queen who has a secret to her eternal beauty.
5,24,What's in the Box,Philanderer Joe Britt sees his indiscretions shown on his own TV set after it was worked on by a unique repairman.
5,25,The Masks,Wealthy Jason Foster is dying and he invites his greedy heirs to a Mardi Gras party where they must wear the masks he specially had made for them or else be cut off from their inheritance.
5,26,I Am the Night - Color Me Black,The Sun doesn't rise on a small town where an execution is scheduled to take place.
5,27,Sounds and Silences,"Roswell Flemington enjoys loud noises, is an annoyance to others and is suitably punished."
5,28,Caesar and Me,"When Irish ventriloquist Jonathan West cannot find any work, his dummy Caesar suggests that he turn to burglary."
5,29,The Jeopardy Room,A defector is trapped in a hotel room and given three hours to find a hidden bomb.
5,30,Stopover in a Quiet Town,"A hung-over couple awaken to find themselves not only in a strange house, but in a deserted town, where nothing is as it should be."
5,31,The Encounter,"Post-WWII Hawaii. Two men of once-opposing races are stuck in an attic full of war trophies, including a samurai sword waiting to dutifully avenge its slain master."
5,32,Mr. Garrity and the Graves,"Mr. Garrity comes into town of Happiness, Arizona offering to resurrect the dead and to reunite the town-folk with their departed loved ones out of the goodness of his heart. Do the town-folk want these miracles?"
5,33,The Brain Center at Whipple's,A heartless CEO completely automates his factory and lays off almost all of his workers over the objections of his employees.
5,34,Come Wander with Me,Singer Floyd Burney searches the backwoods for new songs and finds Mary Rachel and much more deep in the Twilight Zone.
5,35,The Fear,Charlotte Scott and state trooper Robert Franklin seem to be stalked by giants.
5,36,The Bewitchin' Pool,Two children escape their bickering parents through a portal in the bottom of their swimming pool to a magical land watched over by a kind old woman the children call Aunt T.
